model,container,form,scheme,trust,panel,window,risk_lambda,kelly_fraction,n_bets,n_slates,total_return_pct,flat_roi_pct,max_drawdown_pct,sharpe_ann,calmar,win_rate,mean_exposure
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,P,full,23.0,0.3,1592,99,111.70250368646673,9.787065500851556,-23.44618631203682,1.2200695848572256,4.764207799079069,0.37248743718592964,0.08900712097281085
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,O,evaluation,23.0,0.3,843,50,6.533937086360697,2.4902062217070413,-23.446186312036836,0.20942899803456216,0.27867803315229545,0.3760379596678529,0.1004136173486954
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,18.0,0.3,1592,99,147.7634038050586,9.783932809199591,-28.959442635720258,1.1703087297803374,5.102425680762193,0.37248743718592964,0.11212231221974113
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,15.0,0.3,1592,99,190.07717936194234,10.081894387805388,-32.60343016713999,1.1701764755219695,5.829974894896654,0.37248743718592964,0.13144159592343638
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,12.0,0.3,1592,99,265.33381289302696,10.718235792140334,-37.735751706420054,1.1817505747854802,7.031364181036977,0.37248743718592964,0.15604626763377746
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,10.0,0.3,1592,99,372.0763247146105,11.722976538037301,-41.60446791572948,1.2597592552444286,8.94318190700713,0.37248743718592964,0.17329650470125493
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,8.0,0.3,1592,99,465.3562095137753,12.190242376467483,-44.63933698606788,1.290115567609282,10.42480110443878,0.37248743718592964,0.18897702604108688
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,P,full,23.0,0.3,1127,99,151.52046006000467,15.042082507640986,-16.148567670505155,1.5922465968934099,9.382903991959111,0.32741792369121564,0.0687811318492692
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,O,evaluation,23.0,0.3,554,50,31.77288292601428,9.100833888870854,-16.148567670505123,0.9414799212691509,1.9675356709218552,0.3303249097472924,0.0736297074918205
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,18.0,0.3,1127,99,175.1760751024887,14.998376561702376,-19.063962477145637,1.5885607300927989,9.188859625195667,0.32741792369121564,0.07649192367219881
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,15.0,0.3,1127,99,174.53022560803197,14.95081834998295,-19.294674719341685,1.5823797621623419,9.045512720309118,0.32741792369121564,0.07659925639492784
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,12.0,0.3,1127,99,174.53022560803197,14.95081834998295,-19.294674719341685,1.5823797621623419,9.045512720309118,0.32741792369121564,0.07659925639492784
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,10.0,0.3,1127,99,174.53022560803197,14.95081834998295,-19.294674719341685,1.5823797621623419,9.045512720309118,0.32741792369121564,0.07659925639492784
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,8.0,0.3,1127,99,174.53022560803197,14.95081834998295,-19.294674719341685,1.5823797621623419,9.045512720309118,0.32741792369121564,0.07659925639492784
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,23.0,0.4,1592,99,111.7025036864669,9.787065500851579,-23.44618631203679,1.2200695848572278,4.764207799079082,0.37248743718592964,0.08900712097281085
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,18.0,0.4,1592,99,147.76340380505926,9.783932809199609,-28.95944263572022,1.17030872978034,5.102425680762222,0.37248743718592964,0.11212231221974113
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,15.0,0.4,1592,99,190.07717936194152,10.081894387805372,-32.603430167140004,1.1701764755219666,5.829974894896625,0.37248743718592964,0.13144159592343632
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,12.0,0.4,1592,99,265.33381289302775,10.71823579214034,-37.73575170642005,1.1817505747854815,7.031364181037,0.37248743718592964,0.1560462676337775
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,10.0,0.4,1592,99,372.0763247146098,11.722976538037301,-41.604467915729494,1.2597592552444283,8.94318190700711,0.37248743718592964,0.17329650470125493
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,8.0,0.4,1592,99,465.35620951377393,12.190242376467475,-44.63933698606788,1.2901155676092804,10.424801104438748,0.37248743718592964,0.18897702604108688
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,23.0,0.4,1127,99,150.98792036494788,14.95352760080993,-16.363959598998644,1.5761679509756015,9.226857317234348,0.32741792369121564,0.06914554476994238
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,18.0,0.4,1127,99,210.12448483629188,14.974363508680385,-20.436582962972963,1.5385598296436986,10.281781705728193,0.32741792369121564,0.08742585463042031
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,15.0,0.4,1127,99,257.7023736648721,15.106381982302262,-23.469481953742253,1.5486032663895313,10.980317936833751,0.32741792369121564,0.0990192967375095
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,12.0,0.4,1127,99,263.59767850587286,14.936293524035852,-25.945167446489304,1.525144335197416,10.159798700452821,0.32741792369121564,0.10204327980704991
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,10.0,0.4,1127,99,263.59767850587286,14.936293524035852,-25.945167446489304,1.525144335197416,10.159798700452821,0.32741792369121564,0.10204327980704991
m12_joint_hybrid_synergy,raw,none,none,canonical_P1,F,full,8.0,0.4,1127,99,263.59767850587286,14.936293524035852,-25.945167446489304,1.525144335197416,10.159798700452821,0.32741792369121564,0.10204327980704991
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,23.0,0.5,1592,99,111.70250368646597,9.78706550085152,-23.446186312036723,1.220069584857221,4.764207799079056,0.37248743718592964,0.08900712097281083
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,18.0,0.5,1592,99,147.76340380505894,9.783932809199593,-28.95944263572023,1.1703087297803378,5.1024256807622095,0.37248743718592964,0.11212231221974117
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,15.0,0.5,1592,99,190.07717936194234,10.081894387805377,-32.60343016713999,1.1701764755219686,5.829974894896654,0.37248743718592964,0.13144159592343632
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,12.0,0.5,1592,99,265.3338128930281,10.71823579214034,-37.73575170642003,1.181750574785482,7.031364181037011,0.37248743718592964,0.15604626763377746
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,10.0,0.5,1592,99,372.0763247146111,11.722976538037315,-41.604467915729494,1.2597592552444308,8.94318190700714,0.37248743718592964,0.17329650470125493
m12_joint_hybrid_synergy,raw,none,none,flat_1.0,F,full,8.0,0.5,1592,99,465.3562095137749,12.190242376467483,-44.63933698606785,1.2901155676092817,10.424801104438776,0.37248743718592964,0.1889770260410869
