model,container,price,trust,family,selection,n_bets,win_rate,mean_odds,p_model,p_market,stake_units,pnl_units,mean_payoff,flat_roi,kelly_roi,capital_share,efficiency,edge,calibration
m12_joint_hybrid_synergy,raw,close,flat_1.0,1X2_away,away,332,0.25903614457831325,4.548901522768889,0.3270017631463512,0.25737235261982894,4155.12892879064,194.22389976421584,0.018452190583633912,1.8452190583633912,4.6743170450969656,33.23572449251034,0.7316049745482992,0.06962941052652227,-0.06796561856803796
m12_joint_hybrid_synergy,raw,close,flat_1.0,1X2_home,home,249,0.3654618473895582,3.389371095635458,0.3922939860018016,0.3234590276034429,3402.7295435402025,241.23201159483025,0.10577206689524055,10.577206689524054,7.089367771023385,27.21749037629583,1.1095988307261908,0.06883495839835868,-0.026832138612243372
m12_joint_hybrid_synergy,raw,close,flat_1.0,1X2_draw,draw,322,0.2546583850931677,4.121978664511684,0.2540293293131625,0.2482456397586787,2000.6961172260746,137.12207123667812,0.030920750363786217,3.092075036378622,6.853718066229626,16.00301364528643,1.072715903313556,0.0057836895544838285,0.000629055780005161
m12_joint_hybrid_synergy,raw,close,flat_1.0,O/U 2.5_under_25,under_25,122,0.5,2.2593462063631224,0.49263422863322054,0.4479964660598687,971.1452121508601,478.35131175732045,0.1246285623357847,12.46285623357847,49.256414568309914,7.7679213488715275,7.709412429434662,0.044637762573351836,0.007365771366779461
m12_joint_hybrid_synergy,raw,close,flat_1.0,O/U 3.5_under_35,under_35,56,0.5178571428571429,1.5827227917796554,0.6983102794569328,0.6341513668404505,815.9243743724248,-202.51968237310734,-0.20682964935204606,-20.682964935204605,-24.820888888002283,6.52635289496504,-3.884863950814097,0.06415891261648232,-0.1804531365997899
m12_joint_hybrid_synergy,raw,close,flat_1.0,O/U 2.5_over_25,over_25,49,0.5510204081632653,2.102694965321857,0.5203618973648688,0.4764979290296598,374.25852771875117,-22.309632297026578,0.14938548578459737,14.938548578459738,-5.961021765626108,2.9935902181146727,-0.9329947316468942,0.043863968335209,0.030658510798396432
m12_joint_hybrid_synergy,raw,close,flat_1.0,BTTS_btts_yes,btts_yes,22,0.5454545454545454,1.8717151782911863,0.5492760951718674,0.5381370717944668,186.6820460727565,-48.42301140458137,-0.0286902244438399,-2.86902244438399,-25.938761880566297,1.49321793795171,-4.059828856784882,0.011139023377400581,-0.0038215497173219592
m12_joint_hybrid_synergy,raw,close,flat_1.0,BTTS_btts_no,btts_no,33,0.30303030303030304,2.4358483791107175,0.4461938054218609,0.41235920520370617,183.75180813923868,-86.10724868718783,-0.29092900481047607,-29.092900481047607,-46.86062660234599,1.4697797769884964,-7.334433501614459,0.03383460021815471,-0.14316350239155784
m12_joint_hybrid_synergy,raw,close,flat_1.0,O/U 1.5_over_15,over_15,15,0.7333333333333333,1.3799479284294762,0.7562529936091535,0.7234061756194675,180.3034663146975,0.8154960407280138,0.014553633331182713,1.4553633331182714,0.4522908280114072,1.4421974466202763,0.07079070942840816,0.03284681798968603,-0.022919660275820264
m12_joint_hybrid_synergy,raw,close,flat_1.0,O/U 1.5_under_15,under_15,33,0.24242424242424243,5.040798622812367,0.24197913240850763,0.20347037329724035,145.66793588115323,105.85411808813546,0.2238763618269147,22.38763618269147,72.66809778543109,1.1651574397109659,11.373713275728553,0.03850875911126728,0.0004451100157348009
m12_joint_hybrid_synergy,raw,close,flat_1.0,O/U 3.5_over_35,over_35,16,0.1875,3.7163386246234844,0.3048055932772897,0.2728772763845612,85.70798613400582,0.5290560902808394,-0.21330921052631582,-21.33092105263158,0.6172774721992087,0.6855544226847363,0.09661374377915617,0.03192831689272846,-0.11730559327728968
m12_joint_hybrid_synergy,raw,close,canonical_P1,1X2_home,home,249,0.3654618473895582,3.389371095635458,0.3922939860018016,0.3234590276034429,4114.292960586232,317.48103177345934,0.10577206689524055,10.577206689524054,7.716539264822369,37.136256611993275,0.7057882985591061,0.06883495839835868,-0.026832138612243372
m12_joint_hybrid_synergy,raw,close,canonical_P1,1X2_away,away,332,0.25903614457831325,4.548901522768889,0.3270017631463512,0.25737235261982894,3891.2948935135137,111.05302669191994,0.018452190583633912,1.8452190583633912,2.853883597386482,35.123440917504915,0.261028626870016,0.06962941052652227,-0.06796561856803796
m12_joint_hybrid_synergy,raw,close,canonical_P1,1X2_draw,draw,322,0.2546583850931677,4.121978664511684,0.2540293293131625,0.2482456397586787,1836.9686496580873,176.08744647455535,0.030920750363786217,3.092075036378622,9.585762201621149,16.580768510021056,0.8767555716999411,0.0057836895544838285,0.000629055780005161
m12_joint_hybrid_synergy,raw,close,canonical_P1,O/U 2.5_under_25,under_25,122,0.5,2.2593462063631224,0.49263422863322054,0.4479964660598687,1236.3548781112422,606.6603321805317,0.1246285623357847,12.46285623357847,49.068462697968734,11.159533960480704,4.488015366990752,0.044637762573351836,0.007365771366779461
m12_joint_hybrid_synergy,raw,t25,flat_1.0,1X2_away,away,323,0.26625386996904027,4.538014187071875,0.32806686177605515,0.2565865195350505,4539.189420349665,209.760911177661,0.03497902377248089,3.497902377248089,4.621109448248198,32.719766414372536,0.5643325894408733,0.07148034224100464,-0.06181299180701488
m12_joint_hybrid_synergy,raw,t25,flat_1.0,1X2_home,home,257,0.35797665369649806,3.345870098560182,0.3924045986904689,0.32454571854503705,3831.726348070494,441.98460989461745,0.1002594758008738,10.02594758008738,11.53486887489195,27.620171678802837,1.408644935578484,0.06785888014543184,-0.03442794499397084
m12_joint_hybrid_synergy,raw,t25,flat_1.0,1X2_draw,draw,310,0.25806451612903225,4.120979036980516,0.25412242546105873,0.24779535571729613,2182.074047315487,236.06284863799655,0.043770938815172265,4.377093881517227,10.818278551473293,15.729009414532722,1.3211345060351143,0.006327069743762598,0.003942090667973519
m12_joint_hybrid_synergy,raw,t25,flat_1.0,O/U 2.5_under_25,under_25,124,0.5564516129032258,2.247814924847973,0.49319126192122636,0.4501829797486078,1132.363568407589,552.0436300191625,0.2282364276367896,22.82364276367896,48.751447452118754,8.162398178040245,5.953555285316664,0.04300828217261854,0.06326035098199939
m12_joint_hybrid_synergy,raw,t25,flat_1.0,O/U 3.5_under_35,under_35,59,0.576271186440678,1.5762057680078576,0.6990300388794237,0.636870956588233,958.2381232197321,-217.06749562624185,-0.12345469818946533,-12.345469818946533,-22.652771828455673,6.907252519697919,-2.7663697488947783,0.062159082291190715,-0.12275885243874574
m12_joint_hybrid_synergy,raw,t25,flat_1.0,O/U 2.5_over_25,over_25,54,0.5370370370370371,2.066402964266543,0.523502363382661,0.4851041974914895,400.3248488709994,-6.345155354135465,0.1014853712958755,10.148537129587549,-1.585001623563999,2.885655197865498,-0.1935613255888022,0.03839816589117151,0.013534673654376106
m12_joint_hybrid_synergy,raw,t25,flat_1.0,BTTS_btts_yes,btts_yes,25,0.48,1.859860501737967,0.5541994415780496,0.5445435110172414,275.33283466367965,-162.87118871133296,-0.16333275183007115,-16.333275183007114,-59.15429189921387,1.9846772633050151,-7.223956735471733,0.009655930560808157,-0.07419944157804959
m12_joint_hybrid_synergy,raw,t25,flat_1.0,BTTS_btts_no,btts_no,30,0.3,2.47156042846106,0.4454729562237417,0.40648797204218534,215.5714152957917,-51.9926930259797,-0.2646755005952405,-26.467550059524047,-24.118546957925307,1.553899981012613,-2.9453710652702654,0.03898498418155638,-0.14547295622374173
m12_joint_hybrid_synergy,raw,t25,flat_1.0,O/U 1.5_over_15,over_15,13,0.7692307692307693,1.3793973017407297,0.7560344892250341,0.7228384758519067,139.58522987429484,21.80817081741729,0.06047691423434309,6.047691423434309,15.623551888016305,1.006169977377062,1.9079572972612557,0.03319601337312739,0.01319628000573514
m12_joint_hybrid_synergy,raw,t25,flat_1.0,O/U 1.5_under_15,under_15,30,0.2,4.926816233423726,0.2438977261373899,0.20732959002848844,137.01320627967948,85.95938197878864,1.2021857923490605e-5,0.0012021857923490604,62.738026729571786,0.9876301008848432,7.661604529650683,0.036568136108901445,-0.043897726137389875
m12_joint_hybrid_synergy,raw,t25,flat_1.0,O/U 3.5_over_35,over_35,14,0.21428571428571427,3.74162191910806,0.29688245761210486,0.2709743305607886,61.508297243174724,26.659344814648254,-0.1033710021321962,-10.337100213219621,43.342680596814134,0.4433692741087329,5.293033512500155,0.025908127051316232,-0.08259674332639058
m12_joint_hybrid_synergy,raw,t25,canonical_P1,1X2_home,home,257,0.35797665369649806,3.345870098560182,0.3924045986904689,0.32454571854503705,4618.071369177746,541.7313549104772,0.1002594758008738,10.02594758008738,11.730683906839083,37.626985514218184,0.9036518735119866,0.06785888014543184,-0.03442794499397084
m12_joint_hybrid_synergy,raw,t25,canonical_P1,1X2_away,away,323,0.26625386996904027,4.538014187071875,0.32806686177605515,0.2565865195350505,4232.520312198208,97.02370475109578,0.03497902377248089,3.497902377248089,2.292338786218498,34.485603998812195,0.17658614411073267,0.07148034224100464,-0.06181299180701488
m12_joint_hybrid_synergy,raw,t25,canonical_P1,1X2_draw,draw,310,0.25806451612903225,4.120979036980516,0.25412242546105873,0.24779535571729613,1989.6996332743913,271.55350057360226,0.043770938815172265,4.377093881517227,13.647964548634635,16.211615909303458,1.0513460964376184,0.006327069743762598,0.003942090667973519
m12_joint_hybrid_synergy,raw,t25,canonical_P1,O/U 2.5_under_25,under_25,124,0.5564516129032258,2.247814924847973,0.49319126192122636,0.4501829797486078,1433.0048478410838,682.9394813769284,0.2282364276367896,22.82364276367896,47.65786259591666,11.675794577666165,3.6712366614250875,0.04300828217261854,0.06326035098199939
m12_joint_hybrid_synergy,inv_t25,close,flat_1.0,1X2_away,away,357,0.2661064425770308,4.417928207334327,0.29778711843979344,0.26576855412515155,1581.3341484743573,56.48741386523905,0.019391201584694574,1.9391201584694575,3.572136472214749,34.143041026915405,0.39548998432467636,0.032018564314641895,-0.03168067586276263
m12_joint_hybrid_synergy,inv_t25,close,flat_1.0,1X2_home,home,266,0.37593984962406013,3.290485108415888,0.36561111279930886,0.3358158573645286,1244.5641060796888,97.72460850453156,0.0995157769716328,9.95157769716328,7.852115292988716,26.87174205116723,0.8693489115812727,0.029795255434780232,0.010328736824751272
m12_joint_hybrid_synergy,inv_t25,close,flat_1.0,1X2_draw,draw,182,0.24175824175824176,4.3857393544703935,0.24552045950248758,0.2353384208801141,542.2765736220979,100.78194454966567,0.039799472892298265,3.9799472892298264,18.58497111105129,11.708449677746675,2.057639732008078,0.010182038622373463,-0.003762217744245816
m12_joint_hybrid_synergy,inv_t25,close,flat_1.0,O/U 2.5_under_25,under_25,100,0.51,2.2943737772658213,0.4719929689997438,0.44161005478495796,432.2057401769429,259.58173672608655,0.16825510410900807,16.825510410900808,60.05976149687763,9.331878612225516,6.649531538815171,0.03038291421478584,0.03800703100025621
m12_joint_hybrid_synergy,inv_t25,close,flat_1.0,O/U 3.5_under_35,under_35,43,0.5348837209302325,1.6114258831656394,0.6767617118924755,0.6227916280125266,399.6908634402096,-106.52871526068036,-0.17338336924019457,-17.33833692401946,-26.652777184789503,8.629840544257123,-2.9508689024095593,0.05397008387994884,-0.14187799096224296
m12_joint_hybrid_synergy,inv_t25,close,flat_1.0,BTTS_btts_yes,btts_yes,14,0.5714285714285714,1.910983515802657,0.5494181671984608,0.5293951015138969,93.55464682403162,-26.862351735603593,-0.0042852612151018975,-0.42852612151018976,-28.71300640590243,2.01996532349171,-3.1789676967028275,0.020023065684563912,0.02201040423011058
m12_joint_hybrid_synergy,inv_t25,close,flat_1.0,O/U 2.5_over_25,over_25,32,0.5625,2.102809047011702,0.5010317416878914,0.47696727725418775,87.55751961772181,-2.085830382394559,0.1531171004517884,15.311710045178838,-2.3822401451084314,1.8904796227963727,-0.2637503144056553,0.02406446443370369,0.06146825831210856
